,Commenter_Name,DateTime,Comment
126,মোহন লাল দাস,2022-10-11 17:01:56,বিএনপি যা কিছু আশা করছিল জামাত শিবির কে নিয়ে জামাত শিবির বিএনপি কে তালাক দিয়ে চলে গেছে
127,Ashraf Rahman,2022-10-11 17:06:47,আওয়ামী পালাবে ১০০০০ স সিওর
128,em agro,2022-10-11 17:18:44,সমাবেশ সফল হবে ইনশাআল্লাহ এগিয়ে জাঔ জনগন আপনাদের সাথে আছে এবং থাকবে
129,Mijanur Rahman,2022-10-11 17:20:11,আমরা যতদূর জানি এক হাতে তালি বাজে না একদল যখন সমাবেশ করছে অন্য দলের উচিত সেখানে না যাওয়া তাহলেই তো আর কোনো সহিংসতা ঘটে না
130,MD abdulllah Kabir,2022-10-11 17:20:19,আওয়ামিলীগ একটা জনবিচ্ছিন্ন দল
131,Bengal Talks,2022-10-11 17:20:40,এত চুলকানি কেন খানকিমাগীর পোলাগুলার সবগুলার বেশ্যার ঘরে জন্ম
132,Monu J,2022-10-11 17:27:28,চট্টগ্রাম কি আওয়ামীলীগের বাপের সম্পত্তি আর চেতনা বিক্রি হবে না
133,Shohagh shohagh,2022-10-11 17:29:25,খেলা হবে
134,khairul anam,2022-10-11 17:29:36,জয় বাংলা জয় বঙ্গবন্ধু
135,MD alamgirhosenalam,2022-10-11 17:37:37,বাকশাল খুজে পাবে না
136,Fazlur Rahman,2022-10-11 17:38:51,আপনারা কি পুলিশ আইন শৃঙ্খলা দেখার দায়িত্ব পুলিশের আওয়ামী লীগের নয় আশাকরি বি এন পির জনসভায় কোন রকম বিশৃঙ্খলা সৃষ্টি করতে যাবেন না
137,Nasir Nasir,2022-10-11 17:41:33,সমাবেশ সফল হউক দোয়া রইল
138,JAHIRUL ISLAM,2022-10-11 17:50:12,আস্তে আস্তে সুর নরম করতাছে সামনে আরো অনেক কিছু করবে এগিয়ে যাও বিএনপি
139,Foysal Mia,2022-10-11 17:50:32,আমার সোনার বাংলায় সৈরাচারের ঠাঁই নাই
140,Nagrul islam,2022-10-11 17:50:51,কুত্তালীগই অরাজকতা সৃষ্টি করবে
141,Cpride TV,2022-10-11 17:56:22,গণ সমাবেশে বাধা দিতে আসলেই প্রতিরোধের প্রস্তুতি নিয়ে মাঠে আসতে হবে
142,Anwar Hussain,2022-10-11 18:03:21,হাতে লাটি নিয়ে আসবেন সবাই
143,Mr. Engineer,2022-10-11 18:03:57,আওয়ামী সন্ত্রাসীদের সাক্ষাৎ না নিয়ে রাস্তার জনগণের মতামত নেন তাহলে দেখবেন আওয়ামী লীগের কথা বললে জনগণ আপনারেও দৌড়াবে
